ASCII table of spectral energy distribution (SED) fitting results presented in the study *"The Challenge in Illuminating the Invisible: Constraining LyC Escape with Bayesian Modelling and Symbolic Regression"* (Stoffers et al. 2025). The table reports inferred escape fractions of ionizing photons together with key stellar population and dust attenuation parameters derived from Bayesian SED modelling. Galaxies best fit by a three-component dust attenuation model list the parameters tau_3, tau_2_fraction, and tau_1_fraction, where the fractional parameters express tau_1 and tau_2 relative to the total optical depth tau_3. Galaxies best fit by a two-component dust model instead list tau_2 and tau_1_fraction, with the fraction defined as tau_1 / tau_2. These results form the basis for the analysis of LyC escape presented in the paper.

ID              fesc         e_fesc       E_fesc       logM*  e_logM*  E_logM*  SFR_5   e_SFR_5  E_SFR_5  SFR_10  e_SFR_10  E_SFR_10  SFR_100  e_SFR_100  E_SFR_100  t50   e_t50  E_t50  beta_slope  e_beta_slope  E_beta_slope  logZ*  e_logZ*  E_logZ*  logZ_gas  e_logZ_gas  E_logZ_gas  logU   e_logU  E_logU  tau_2  e_tau_2  E_tau_2  tau_1_fraction  e_tau_1_fraction  E_tau_1_fraction  tau_3  e_tau_3  E_tau_3  tau_2_fraction  e_tau_2_fraction  E_tau_2_fraction  f_scale  e_f_scale  E_f_scale  f_ob_run    e_f_ob_run  E_f_ob_run
J130128+510451  0.038830749  0.012956652  0.022534474  9.81   0.28     0.19     23.20   6.62     7.87     28.91   8.34      7.92      8.78     2.20       3.73       2.55  2.01   2.04   -2.305      0.068         0.083         -1.34  0.21     0.16     -0.51     0.01        0.04        -2.01  0.04    0.03    0.354  0.063    0.091    0.988           0.284             0.302             ...    ...      ...      ...             ...               ...               ...      ...        ...        0.59990087  0.11873090  0.09967015
J135008+662438  0.001890251  0.001405721  0.006942878  9.32   0.25     0.16     3.06    0.54     1.83     5.65    1.73      1.84      3.68     1.05       1.70       1.39  1.13   2.53   -1.693      0.154         0.188         -1.26  0.23     0.16     -0.53     0.03        0.02        -2.49  0.02    0.02    ...    ...      ...      0.962           0.282             0.367             0.161  0.043    0.084    0.428           0.198             0.224             0.545    0.078      0.125      0.24151157  0.19656502  0.36243194
J080425+472607  0.009762557  0.005846828  0.008818987  9.14   0.45     0.45     8.69    2.37     2.85     6.52    1.00      1.80      1.43     0.42       0.83       2.56  2.12   2.04   -2.151      0.075         0.086         -0.97  0.32     0.22     -0.86     0.01        0.01        -1.02  0.03    0.01    ...    ...      ...      1.017           0.249             0.277             1.290  0.310    0.431    0.234           0.217             0.257             0.698    0.085      0.133      0.24321253  0.08160532  0.13824277
J160437+081959  0.025270857  0.018343703  0.062066081  9.35   0.23     0.15     9.84    1.15     1.59     6.30    0.72      0.65      1.19     0.30       0.53       4.13  2.39   1.13   -1.517      0.092         0.127         -0.87  0.25     0.18     -0.48     0.03        0.01        -1.70  0.04    0.04    0.121  0.040    0.054    0.920           0.355             0.274             0.098  0.065    0.170    ...             ...               ...               0.772    0.026      0.028      0.04214090  0.02648818  0.11834684
J103344+635317  0.003867956  0.003014686  0.008904655  9.42   0.20     0.18     15.43   2.85     8.26     17.79   3.56      9.39      14.87    2.79       4.90       0.07  0.04   0.80   -2.144      0.036         0.033         -1.43  0.18     0.17     -0.51     0.01        0.02        -1.99  0.02    0.02    0.306  0.069    0.048    1.164           0.259             0.329             ...    ...      ...      ...             ...               ...               0.759    0.037      0.064      0.12668983  0.10462531  0.38972557
J093355+510925  0.001644524  0.001127745  0.003253559  8.24   0.41     0.44     3.21    0.43     0.50     5.05    0.67      0.87      0.67     0.08       0.22       0.18  0.17   3.64   -1.851      0.094         0.183         -1.67  0.14     0.15     -0.75     0.01        0.00        -1.04  0.05    0.03    0.194  0.044    0.052    0.937           0.252             0.278             ...    ...      ...      ...             ...               ...               ...      ...        ...        0.07317593  0.05158442  0.08862586
J105331+523753  0.004309863  0.001498891  0.002046997  9.19   0.18     0.25     174.38  22.23    16.42    93.64   8.35      11.42     11.37    2.11       2.95       0.00  0.00   0.08   -2.179      0.061         0.056         -1.04  0.20     0.17     -0.38     0.01        0.01        -2.23  0.02    0.01    0.682  0.055    0.064    0.966           0.212             0.310             ...    ...      ...      ...             ...               ...               ...      ...        ...        0.89057374  0.01511794  0.01552976
J154050+572442  0.001107043  0.000452599  0.000555038  9.81   0.27     0.30     163.51  20.41    26.79    102.96  14.16     11.51     18.90    4.04       8.40       1.50  1.46   2.51   -1.890      0.078         0.063         -0.73  0.14     0.22     -0.33     0.01        0.01        -2.58  0.02    0.01    0.746  0.073    0.100    1.028           0.276             0.280             ...    ...      ...      ...             ...               ...               0.852    0.083      0.132      0.88146055  0.02132145  0.01926797
J115855+312559  0.010320585  0.005522745  0.003705497  10.10  0.14     0.11     18.81   5.66     12.42    27.03   9.63      20.83     17.54    2.95       5.56       2.72  1.82   1.59   -2.070      0.050         0.055         -1.31  0.18     0.14     -0.41     0.01        0.01        -2.38  0.02    0.02    0.544  0.115    0.143    1.069           0.299             0.277             ...    ...      ...      ...             ...               ...               0.910    0.138      0.163      0.35479520  0.18581841  0.27206947
J105525+485724  0.006472026  0.005621842  0.016815056  9.93   0.17     0.05     5.34    2.18     2.15     3.87    1.16      2.10      6.33     1.58       3.72       0.47  0.24   0.13   -1.638      0.196         0.197         -1.69  0.14     0.43     -0.52     0.01        0.01        -2.79  0.03    0.02    0.207  0.054    0.052    1.074           0.372             0.518             ...    ...      ...      ...             ...               ...               ...      ...        ...        0.65346277  0.21589899  0.10753720
